frame,action
392,unknown,
393,unknown,
394,unknown,
395,unknown,
396,unknown,
397,unknown,
398,unknown,
399,unknown,
400,unknown,
401,unknown,
402,unknown,
403,unknown,
404,unknown,
405,unknown,
406,unknown,
407,unknown,
408,unknown,
409,unknown,
410,unknown,
411,unknown,
412,unknown,
413,unknown,
414,unknown,
415,unknown,
416,unknown,
417,unknown,
418,unknown,
419,unknown,
420,unknown,
421,unknown,
422,unknown,
423,unknown,
424,unknown,
425,unknown,
426,unknown,
427,unknown,
428,unknown,
429,unknown,
430,unknown,
431,unknown,
432,unknown,
433,unknown,
434,unknown,
435,unknown,
436,unknown,
437,unknown,
438,unknown,
439,unknown,
440,unknown,
441,unknown,
442,unknown,
443,unknown,
444,unknown,
445,unknown,
446,unknown,
447,unknown,
448,unknown,
449,unknown,
450,unknown,
451,unknown,
452,unknown,
453,unknown,
454,unknown,
455,unknown,
456,unknown,
457,unknown,
458,unknown,
459,unknown,
460,unknown,
461,unknown,
462,unknown,
463,unknown,
464,unknown,
465,unknown,
466,unknown,
467,unknown,
468,unknown,
469,unknown,
470,unknown,
471,unknown,
472,unknown,
473,unknown,
474,unknown,
475,unknown,
476,unknown,
477,unknown,
478,unknown,
479,unknown,
480,unknown,
481,unknown,
482,unknown,
483,unknown,
484,unknown,
485,unknown,
486,unknown,
487,unknown,
488,unknown,
489,unknown,
490,unknown,
491,unknown,
492,unknown,
493,unknown,
494,unknown,
495,unknown,
496,unknown,
497,unknown,
498,unknown,
499,unknown,
500,unknown,
501,unknown,
502,unknown,
503,unknown,
504,unknown,
505,unknown,
506,unknown,
507,unknown,
508,unknown,
509,unknown,
510,unknown,
511,unknown,
512,unknown,
513,unknown,
514,unknown,
515,unknown,
516,unknown,
517,unknown,
518,unknown,
519,unknown,
520,unknown,
521,unknown,
522,unknown,
523,unknown,
524,unknown,
525,unknown,
526,unknown,
527,unknown,
528,unknown,
529,unknown,
530,unknown,
531,unknown,
532,unknown,
533,unknown,
534,unknown,
535,unknown,
536,unknown,
537,unknown,
538,unknown,
539,unknown,
540,unknown,
541,unknown,
542,dancing,
543,dancing,
544,dancing,
545,dancing,
546,dancing,
547,dancing,
548,dancing,
549,dancing,
550,dancing,
551,dancing,
552,dancing,
553,dancing,
554,dancing,N/A
555,dancing,N/A
556,dancing,happy
557,dancing,happy
558,dancing,happy
559,dancing,happy
560,dancing,happy
561,dancing,happy
562,dancing,happy
563,dancing,neutral
564,dancing,neutral
565,dancing,neutral
566,dancing,neutral
567,dancing,neutral
568,dancing,neutral
569,dancing,neutral
570,dancing,neutral
571,dancing,neutral
572,dancing,neutral
573,dancing,neutral
574,dancing,angry
575,dancing,angry
576,dancing,
577,dancing,
578,dancing,angry
579,dancing,
580,dancing,
581,dancing,angry
582,dancing,
583,dancing,
584,dancing,
585,dancing,
586,dancing,
587,dancing,
588,dancing,
589,dancing,
590,dancing,
591,dancing,
592,dancing,
593,dancing,
594,dancing,
595,dancing,
596,dancing,
597,dancing,
598,dancing,
599,dancing,
600,dancing,
601,dancing,
602,dancing,
603,dancing,
604,dancing,
605,dancing,
606,dancing,
607,dancing,
608,dancing,
609,dancing,
610,dancing,angry
611,dancing,angry
612,dancing,angry
613,dancing,angry
614,dancing,angry
615,dancing,happy
616,dancing,happy
617,dancing,happy
618,dancing,happy
619,dancing,happy
620,dancing,neutral
621,dancing,neutral
622,dancing,happy
623,dancing,happy
624,dancing,happy
625,dancing,happy
626,dancing,happy
627,dancing,happy
628,dancing,happy
629,dancing,happy
630,dancing,happy
631,dancing,sad
632,dancing,happy
633,dancing,happy
634,dancing,happy
635,dancing,sad
636,dancing,neutral
637,dancing,neutral
638,dancing,neutral
639,dancing,neutral
640,dancing,
641,dancing,neutral
642,dancing,neutral
643,dancing,neutral
644,dancing,neutral
645,dancing,neutral
646,dancing,neutral
647,dancing,neutral
648,dancing,sad
649,dancing,
650,dancing,
651,dancing,
652,dancing,
653,dancing,
654,dancing,
655,dancing,
656,dancing,N/A
657,dancing,N/A
658,dancing,N/A
659,dancing,N/A
660,dancing,N/A
661,dancing,N/A
662,dancing,N/A
663,dancing,N/A
664,dancing,N/A
665,dancing,N/A
666,dancing,N/A
667,dancing,sad
668,dancing,sad
669,dancing,sad
670,dancing,sad
671,dancing,sad
672,dancing,sad
673,dancing,sad
674,dancing,sad
675,dancing,sad
676,dancing,sad
677,dancing,neutral
678,dancing,neutral
679,dancing,
680,dancing,
681,dancing,
682,dancing,
683,dancing,
684,dancing,
685,dancing,
686,dancing,
687,dancing,
688,dancing,
689,dancing,
690,dancing,
691,dancing,
692,dancing,
693,dancing,
694,dancing,
695,dancing,
696,dancing,
697,dancing,
698,dancing,
699,dancing,
700,dancing,
701,dancing,
702,dancing,
703,dancing,
704,dancing,
705,dancing,
706,dancing,
707,dancing,
708,dancing,
709,dancing,
710,dancing,
711,dancing,
712,dancing,sad
713,dancing,
714,dancing,sad
715,dancing,sad
716,dancing,fear
717,dancing,fear
718,dancing,fear
719,dancing,fear
720,dancing,sad
721,dancing,sad
722,dancing,happy
723,dancing,happy
724,dancing,happy
725,dancing,happy
726,dancing,happy
727,dancing,happy
728,dancing,happy
729,dancing,happy
730,dancing,happy
731,dancing,happy
732,dancing,happy
733,dancing,neutral
734,dancing,neutral
735,dancing,happy
736,dancing,neutral
737,dancing,neutral
738,dancing,neutral
739,dancing,neutral
740,dancing,neutral
741,dancing,neutral
742,dancing,neutral
743,dancing,neutral
744,dancing,neutral
745,dancing,neutral
746,dancing,neutral
747,dancing,neutral
748,dancing,neutral
749,dancing,neutral
750,dancing,neutral
751,dancing,neutral
752,dancing,neutral
753,dancing,neutral
754,dancing,neutral
755,dancing,neutral
756,dancing,neutral
757,dancing,neutral
758,dancing,neutral
759,dancing,neutral
760,dancing,neutral
761,dancing,neutral
762,dancing,neutral
763,dancing,neutral
764,dancing,neutral
765,dancing,neutral
766,dancing,neutral
767,dancing,neutral
768,dancing,neutral
769,dancing,neutral
770,dancing,neutral
771,dancing,neutral
772,dancing,neutral
773,dancing,neutral
774,dancing,neutral
775,dancing,neutral
776,dancing,neutral
777,dancing,neutral
778,dancing,neutral
779,dancing,neutral
780,dancing,neutral
781,dancing,neutral
782,dancing,neutral
783,dancing,neutral
784,dancing,neutral
785,dancing,neutral
786,dancing,neutral
787,dancing,neutral
788,dancing,neutral
789,dancing,neutral
790,dancing,neutral
791,dancing,neutral
792,dancing,neutral
793,dancing,neutral
794,dancing,neutral
795,dancing,neutral
796,dancing,neutral
797,dancing,neutral
798,dancing,neutral
799,dancing,neutral
800,dancing,neutral
801,dancing,neutral
802,dancing,neutral
803,dancing,happy
804,dancing,neutral
805,dancing,neutral
806,dancing,neutral
807,dancing,neutral
808,dancing,neutral
809,dancing,neutral
810,dancing,happy
811,dancing,neutral
812,dancing,neutral
813,dancing,neutral
814,dancing,neutral
815,dancing,happy
816,dancing,neutral
817,dancing,neutral
818,unknown,neutral
819,unknown,neutral
820,unknown,neutral
821,unknown,neutral
822,unknown,neutral
823,unknown,neutral
824,unknown,neutral
825,unknown,neutral
826,unknown,neutral
827,unknown,neutral
828,unknown,neutral
829,unknown,neutral
830,unknown,neutral
831,unknown,neutral
832,unknown,neutral
